datetime,NetPosUsd,NetUsdPnL,AbsVolume,Mid
2014.02.18T12:00:00.000,-562788.55,-19.99020081,42865.86,1.372655
2014.02.18T13:00:00.000,-562927.95,-139.4,37677.44,1.372995
2014.02.18T14:00:00.000,-830092.3,-645.1723559,688869.33,1.374325
2014.02.18T15:00:00.000,-482928.615,-874.181103,2307981.745,1.375865
2014.02.18T16:00:00.000,-541751.97,341.7198967,2100.835,1.375005
2014.02.18T17:00:00.000,38521.14,-163.1947344,1303542.93,1.375755
2014.02.18T18:00:00.000,23381.885,-4.175462828,253159.965,1.375405
2014.02.18T19:00:00.000,22010.64,4.536667718,39251.715,1.375665
2014.02.18T20:00:00.000,277888.37,17.10637594,258156.17,1.375685
2014.02.18T21:00:00.000,277916.65,28.28,15977.36,1.375825
2014.02.18T22:00:00.000,132084,0.605351837,154300.7,1.375875
2014.02.18T23:00:00.000,-198151.92,-12.47589816,956279.16,1.376055
2014.02.19T00:00:00.000,-16512.54,1.259957704,180488.82,1.376045
2014.02.19T01:00:00.000,152797.605,3.493122783,227988.705,1.376555
2014.02.19T02:00:00.000,174873.285,48.59112556,70851.99,1.376955
2014.02.19T03:00:00.000,178930.05,-72.86596754,61526.295,1.376385
2014.02.19T04:00:00.000,41278.35,-30.35519072,95167.45,1.375945
2014.02.19T05:00:00.000,53681.745,16.08891158,73940.945,1.376455
2014.02.19T06:00:00.000,188583.925,-0.783627833,148476.9,1.376525
2014.02.19T07:00:00.000,-282003.125,135.0284974,515164.95,1.375625
2014.02.19T08:00:00.000,-151353.95,-32.04637694,1728110.645,1.375945
2014.02.19T09:00:00.000,-429145.08,130.1522695,339932.64,1.375465
2014.02.19T10:00:00.000,-290098.625,190.5660436,2241914.215,1.374875
2014.02.19T11:00:00.000,-604839.4,154.5983106,836072.215,1.374635
2014.02.19T12:00:00.000,-614546.775,-75.57524349,664783.235,1.374825
2014.02.19T13:00:00.000,23363.695,149.6678457,650282.87,1.374335
2014.02.19T14:00:00.000,107222.31,7.16422365,121260.115,1.374645
2014.02.19T15:00:00.000,118283.97,61.91991991,244590.24,1.375395
2014.02.19T16:00:00.000,426353.85,-5.033763831,4060990.53,1.375335
2014.02.19T17:00:00.000,1717379.04,342.9781714,2258561.52,1.376105
